veg_class,year,sensor,index,SOS,EOS,PEAK,PEAK_VAL,AUC,SEASON_LEN
Low Growing Emergent Marsh,2023,S1,VH,4.0,12.0,8.0,-13.970839269687211,-157.40422975862376,8.0
Low Growing Emergent Marsh,2023,S1,RVI,1.0,11.0,8.0,0.9505518895069058,9.82640150592075,10.0
Low Growing Emergent Marsh,2023,S1,CR,1.0,11.0,8.0,-5.438516945362274,-63.82687337460676,10.0
Low Growing Emergent Marsh,2024,S1,VV,5.0,12.0,9.0,-7.93376898336141,-94.3469159514423,7.0
Low Growing Emergent Marsh,2024,S1,VH,5.0,12.0,9.0,-13.352160005488757,-156.8554456235372,7.0
Low Growing Emergent Marsh,2024,S1,RVI,3.0,12.0,9.0,0.9511249438112568,10.0478638421358,9.0
Low Growing Emergent Marsh,2024,S1,CR,3.0,12.0,8.0,-5.408878993572383,-62.50852966956527,9.0
Low Growing Emergent Marsh,2025,S1,VV,5.0,12.0,11.0,-8.459137109880043,-97.16413074652485,7.0
Low Growing Emergent Marsh,2025,S1,VH,5.0,12.0,12.0,-12.712640019147871,-153.11600568961887,7.0
Low Growing Emergent Marsh,2025,S1,RVI,4.0,12.0,12.0,1.161519969662002,11.106103213826628,8.0
Low Growing Emergent Marsh,2025,S1,CR,4.0,12.0,12.0,-4.222103119444418,-55.95187504019986,8.0
Maidencane Egyptian Paspalidium,2023,S1,VV,4.0,12.0,8.0,-9.53328198385246,-116.00278817757386,8.0
Maidencane Egyptian Paspalidium,2023,S1,VH,1.0,9.0,4.0,-18.2627055167662,-217.08890408308505,8.0
Maidencane Egyptian Paspalidium,2023,S1,RVI,1.0,8.0,4.0,0.7815592237104794,5.966137448192869,7.0
Maidencane Egyptian Paspalidium,2023,S1,CR,1.0,8.0,4.0,-6.5436785000745425,-101.08611589972402,7.0
Maidencane Egyptian Paspalidium,2024,S1,VV,1.0,3.0,1.0,-10.374342750603198,-125.37612345979416,2.0
Maidencane Egyptian Paspalidium,2024,S1,VH,2.0,12.0,8.0,-18.399495529574164,-216.7146942744569,10.0
Maidencane Egyptian Paspalidium,2024,S1,RVI,5.0,12.0,6.0,0.7076265543298813,7.000969600824441,7.0
Maidencane Egyptian Paspalidium,2024,S1,CR,2.0,10.0,6.0,-7.412240485330606,-91.33857079975022,8.0
Maidencane Egyptian Paspalidium,2025,S1,VV,1.0,11.0,7.0,-9.059112463808736,-117.31153301455332,10.0
Maidencane Egyptian Paspalidium,2025,S1,VH,1.0,10.0,1.0,-18.75468077286718,-223.86886448353053,9.0
Maidencane Egyptian Paspalidium,2025,S1,RVI,1.0,6.0,1.0,0.8069317814281588,5.474857836255518,5.0
Maidencane Egyptian Paspalidium,2025,S1,CR,1.0,7.0,1.0,-6.5973568194646885,-106.55733144034004,6.0
Phragmites,2023,S1,VV,1.0,4.0,1.0,-5.346885266471738,-75.62577955317785,3.0
Phragmites,2023,S1,VH,1.0,10.0,7.0,-14.04873997069966,-160.20365873565737,9.0
Phragmites,2023,S1,RVI,2.0,12.0,6.0,0.7459299751669677,7.203947872010152,10.0
Phragmites,2023,S1,CR,2.0,12.0,6.0,-6.929243506804797,-84.57787912499316,10.0
Phragmites,2024,S1,VV,1.0,6.0,1.0,-6.229669324690323,-84.37099340067277,5.0
Phragmites,2024,S1,VH,8.0,12.0,12.0,-14.040259722893344,-158.57878261186718,4.0
Phragmites,2024,S1,RVI,3.0,12.0,6.0,0.8925887936552869,8.53388781050844,9.0
Phragmites,2024,S1,CR,3.0,12.0,6.0,-5.833113969944488,-74.2077891325741,9.0
Phragmites,2025,S1,VV,1.0,4.0,1.0,-7.876110985102445,-97.24342120818707,3.0
Phragmites,2025,S1,VH,6.0,12.0,12.0,-12.798536092778123,-154.13563368992496,6.0
Phragmites,2025,S1,RVI,5.0,12.0,12.0,1.1245807125805962,10.961817954694421,7.0
Phragmites,2025,S1,CR,5.0,12.0,12.0,-4.365009586817974,-56.89221254052161,7.0
Sawgrass,2023,S1,VV,1.0,4.0,1.0,-6.300917547138502,-87.22532331756636,3.0
Sawgrass,2023,S1,VH,1.0,10.0,4.0,-14.742687856472324,-174.3727705201059,9.0
Sawgrass,2023,S1,RVI,1.0,10.0,5.0,0.9619595165886318,7.594900594055853,9.0
Sawgrass,2023,S1,CR,1.0,10.0,5.0,-5.435064250621685,-87.14744718472065,9.0
Sawgrass,2024,S1,VV,1.0,5.0,1.0,-6.823812494150174,-100.4496309872102,4.0
Sawgrass,2024,S1,VH,3.0,12.0,5.0,-15.406879561631554,-176.46145133299976,9.0
Sawgrass,2024,S1,RVI,2.0,12.0,6.0,1.0953902094617403,8.875495038555476,10.0
Sawgrass,2024,S1,CR,2.0,12.0,6.0,-4.410300846879461,-76.01182035160066,10.0
Sawgrass,2025,S1,VV,1.0,5.0,1.0,-9.285453350955388,-119.10038112193546,4.0
Sawgrass,2025,S1,VH,1.0,4.0,1.0,-14.506706289808825,-177.56756131819026,3.0
Sawgrass,2025,S1,RVI,5.0,12.0,12.0,1.0489295399671872,10.870379454979727,7.0
Sawgrass,2025,S1,CR,5.0,12.0,8.0,-4.920380152720238,-58.46718019439278,7.0
Shrub Swamp,2023,S1,VV,1.0,4.0,1.0,-7.5817214795623125,-101.47435784485648,3.0
Shrub Swamp,2023,S1,VH,1.0,3.0,1.0,-13.703832137386696,-159.81360235052284,2.0
Shrub Swamp,2023,S1,RVI,3.0,12.0,8.0,1.0589033312378031,10.751520878127918,9.0
Shrub Swamp,2023,S1,CR,3.0,12.0,8.0,-4.769449604597568,-58.33924447958363,9.0
Shrub Swamp,2024,S1,VV,1.0,4.0,1.0,-7.737152074610054,-100.69493022903116,3.0
Shrub Swamp,2024,S1,VH,6.0,12.0,10.0,-13.648488764051312,-158.7858014563836,6.0
Shrub Swamp,2024,S1,RVI,3.0,12.0,6.0,1.0429678818788553,10.79200012880426,9.0
Shrub Swamp,2024,S1,CR,3.0,12.0,6.0,-4.872932835802613,-58.09087131506013,9.0
Shrub Swamp,2025,S1,VV,1.0,11.0,8.0,-9.258886875653353,-105.99382229928278,10.0
Shrub Swamp,2025,S1,VH,4.0,12.0,8.0,-14.243869674540996,-164.04421788644424,8.0
Shrub Swamp,2025,S1,RVI,5.0,12.0,9.0,1.0366097943610404,10.817123917633285,7.0
Shrub Swamp,2025,S1,CR,5.0,12.0,9.0,-4.907816456594645,-58.05039562090654,7.0
Spikerush,2023,S1,VV,2.0,11.0,5.0,-9.013065073892403,-120.10773166509676,9.0
Spikerush,2023,S1,VH,1.0,10.0,5.0,-16.022095341840224,-238.45469575801553,9.0
Spikerush,2023,S1,RVI,1.0,9.0,4.0,0.7673061597442112,5.0011853057015445,8.0
Spikerush,2023,S1,CR,1.0,9.0,4.0,-6.775516857481941,-118.34696404072525,8.0
Spikerush,2024,S1,VV,1.0,11.0,6.0,-8.769301972672302,-125.83007596671983,10.0
Spikerush,2024,S1,VH,1.0,11.0,6.0,-15.5155451827839,-233.67497464252412,10.0
Spikerush,2024,S1,RVI,2.0,10.0,6.0,0.8079037754057914,6.0622425788795065,8.0
Spikerush,2024,S1,CR,1.0,10.0,6.0,-6.7462432185745955,-107.84489869170174,9.0
Spikerush,2025,S1,VV,5.0,12.0,8.0,-8.56537008793708,-111.39412658168972,7.0
Spikerush,2025,S1,VH,1.0,4.0,1.0,-15.84583497507031,-201.0855485611006,3.0
Spikerush,2025,S1,RVI,1.0,8.0,1.0,0.8966286277881169,7.274320004948954,7.0
Spikerush,2025,S1,CR,1.0,8.0,1.0,-5.930229305264066,-89.69142202113055,7.0
Torpedograss,2023,S1,VV,4.0,12.0,9.0,-6.278978907186203,-86.06456718497682,8.0
Torpedograss,2023,S1,VH,1.0,11.0,4.0,-13.47040612500067,-183.42327921646424,10.0
Torpedograss,2023,S1,RVI,1.0,9.0,4.0,1.0941414561286975,6.8077085406746995,8.0
Torpedograss,2023,S1,CR,1.0,9.0,4.0,-4.405550618318022,-97.35871205141845,8.0
