veg_class,year,sensor,index,SOS,EOS,PEAK,PEAK_VAL,AUC,SEASON_LEN
Maidencane Egyptian Paspalidium,2025,S2,NDRE,1.0,10.0,5.0,0.11135923411575135,0.6001395901592913,9.0
Phragmites,2023,S2,NDVI,3.0,12.0,9.0,0.6597173018623499,6.638149953416367,9.0
Phragmites,2023,S2,EVI,2.0,12.0,8.0,0.396673371135825,3.7902509608007815,10.0
Phragmites,2023,S2,NDWI,1.0,10.0,1.0,-0.5246113252030148,-6.0079482759299445,9.0
Phragmites,2023,S2,MNDWI,1.0,11.0,9.0,-0.41618301089017473,-4.77926104339946,10.0
Phragmites,2023,S2,NDRE,3.0,12.0,9.0,0.3737292176098978,3.793637922963196,9.0
Phragmites,2024,S2,NDVI,3.0,12.0,8.0,0.7228281418458655,6.730419707232716,9.0
Phragmites,2024,S2,EVI,3.0,12.0,8.0,0.494680620490212,4.05049970795548,9.0
Phragmites,2024,S2,NDWI,1.0,7.0,3.0,-0.5086118211128045,-6.244134442935639,6.0
Phragmites,2024,S2,MNDWI,1.0,6.0,3.0,-0.44968367547499616,-5.212010033986648,5.0
Phragmites,2024,S2,NDRE,3.0,12.0,8.0,0.4493872920119424,4.112280270640311,9.0
Phragmites,2025,S2,NDVI,3.0,12.0,8.0,0.7520764405640379,7.40730640590896,9.0
Phragmites,2025,S2,EVI,2.0,12.0,8.0,0.5321406866053586,4.992525342711203,10.0
Phragmites,2025,S2,NDWI,1.0,7.0,1.0,-0.5523180218037743,-6.808425029540997,6.0
Phragmites,2025,S2,MNDWI,1.0,10.0,4.0,-0.4830899533989146,-5.6842723827850765,9.0
Phragmites,2025,S2,NDRE,2.0,12.0,8.0,0.46616266200960077,4.560001116584393,10.0
Sawgrass,2023,S2,NDVI,2.0,8.0,5.0,0.5947780890865936,6.193878611809988,6.0
Sawgrass,2023,S2,EVI,1.0,10.0,5.0,0.3400952951788847,2.67471622985087,9.0
Sawgrass,2023,S2,NDWI,1.0,5.0,1.0,-0.5099993707867846,-6.050135018250761,4.0
Sawgrass,2023,S2,MNDWI,1.0,4.0,1.0,-0.37038674818874245,-4.834116599672655,3.0
Sawgrass,2023,S2,NDRE,1.0,8.0,5.0,0.3426970311300441,3.276976659867078,7.0
Sawgrass,2024,S2,NDVI,3.0,12.0,7.0,0.5741167502922687,5.996083857796728,9.0
Sawgrass,2024,S2,EVI,2.0,12.0,6.0,0.33705028418778626,2.8877472410534124,10.0
Sawgrass,2024,S2,NDWI,1.0,6.0,1.0,-0.49770897336245423,-6.119583827079932,5.0
Sawgrass,2024,S2,MNDWI,1.0,6.0,1.0,-0.36923454754605084,-5.34727495281486,5.0
Sawgrass,2024,S2,NDRE,3.0,12.0,6.0,0.3410588165169737,3.396483920059565,9.0
Sawgrass,2025,S2,NDVI,4.0,12.0,8.0,0.6847967169812241,6.29292355381258,8.0
Sawgrass,2025,S2,EVI,2.0,12.0,7.0,0.4097933649226122,3.379768061970476,10.0
Sawgrass,2025,S2,NDWI,1.0,8.0,4.0,-0.5012860344071881,-6.256358109265979,7.0
Sawgrass,2025,S2,MNDWI,2.0,11.0,8.0,-0.4847144404939893,-5.915531197263482,9.0
Sawgrass,2025,S2,NDRE,4.0,12.0,7.0,0.3923116827138609,3.722784934046321,8.0
Shrub Swamp,2023,S2,NDVI,2.0,12.0,6.0,0.8142407833812277,8.073158222840371,10.0
Shrub Swamp,2023,S2,EVI,2.0,12.0,6.0,0.4995556162643603,4.421840606958582,10.0
Shrub Swamp,2023,S2,NDWI,9.0,12.0,12.0,-0.5927332046413167,-7.177026552248813,3.0
Shrub Swamp,2023,S2,MNDWI,9.0,12.0,12.0,-0.4498765551416302,-5.4806871785594895,3.0
Shrub Swamp,2023,S2,NDRE,2.0,12.0,6.0,0.5398656969538342,5.180489126262504,10.0
Shrub Swamp,2024,S2,NDVI,3.0,12.0,6.0,0.7849796270517436,7.698806211025945,9.0
Shrub Swamp,2024,S2,EVI,2.0,12.0,6.0,0.5010425852267075,4.324386265726978,10.0
Shrub Swamp,2024,S2,NDWI,1.0,6.0,2.0,-0.5181353382836802,-6.8649383272056,5.0
Shrub Swamp,2024,S2,MNDWI,1.0,6.0,2.0,-0.38844174830255046,-5.176996160986501,5.0
Shrub Swamp,2024,S2,NDRE,3.0,12.0,6.0,0.5073512338991096,4.873316124719713,9.0
Shrub Swamp,2025,S2,NDVI,3.0,12.0,8.0,0.8036910741145622,8.552480485098918,9.0
Shrub Swamp,2025,S2,EVI,1.0,11.0,5.0,0.5494705756235199,5.050230256705375,10.0
Shrub Swamp,2025,S2,NDWI,1.0,6.0,1.0,-0.6486016965100918,-7.674171309090562,5.0
Shrub Swamp,2025,S2,MNDWI,1.0,11.0,5.0,-0.5033395182258027,-5.981819902793949,10.0
Shrub Swamp,2025,S2,NDRE,3.0,12.0,5.0,0.5216446040488422,5.420562869659742,9.0
Spikerush,2023,S2,NDVI,8.0,12.0,12.0,0.4302766355188368,3.5406067302556368,4.0
Spikerush,2023,S2,EVI,1.0,9.0,5.0,0.1416086231757373,0.826383334713493,8.0
Spikerush,2023,S2,NDWI,5.0,11.0,8.0,-0.2897030079431494,-4.088472299985521,6.0
Spikerush,2023,S2,MNDWI,5.0,12.0,9.0,-0.061059918274875544,-2.0848261377719917,7.0
Spikerush,2023,S2,NDRE,1.0,8.0,5.0,0.17116519887121612,0.7811882202081104,7.0
Spikerush,2024,S2,NDVI,3.0,12.0,12.0,0.4627909468300341,3.548861511501996,9.0
Spikerush,2024,S2,EVI,1.0,11.0,7.0,0.18637728372760076,1.14060870305463,10.0
Spikerush,2024,S2,NDWI,1.0,5.0,1.0,-0.18399337851043226,-4.356199031184339,4.0
Spikerush,2024,S2,MNDWI,1.0,5.0,1.0,0.11231141484371976,-3.5200996324188756,4.0
Spikerush,2024,S2,NDRE,2.0,10.0,7.0,0.21221162396292514,1.1575847153188208,8.0
Spikerush,2025,S2,NDVI,5.0,12.0,9.0,0.4951439498581811,4.434447123089704,7.0
Spikerush,2025,S2,EVI,2.0,12.0,7.0,0.175472148969884,1.7217916727670501,10.0
Spikerush,2025,S2,NDWI,1.0,10.0,5.0,-0.3968838310024595,-5.270515493600548,9.0
Spikerush,2025,S2,MNDWI,1.0,4.0,1.0,-0.41125927949353214,-5.653700180552791,3.0
Spikerush,2025,S2,NDRE,4.0,12.0,12.0,0.25987421058654353,2.4343358348062782,8.0
Torpedograss,2023,S2,NDVI,1.0,4.0,1.0,0.5217336795933967,4.752782125426163,3.0
Torpedograss,2023,S2,EVI,2.0,11.0,5.0,0.19304374826618012,1.6845875200434075,9.0
Torpedograss,2023,S2,NDWI,2.0,12.0,8.0,-0.44462592382302846,-5.2165610479865325,10.0
Torpedograss,2023,S2,MNDWI,1.0,4.0,1.0,-0.20982026597291725,-4.106253327660169,3.0
Torpedograss,2023,S2,NDRE,1.0,8.0,1.0,0.2271589693329138,2.2991103142229745,7.0
Torpedograss,2024,S2,NDVI,4.0,12.0,12.0,0.4632245538995865,4.368845288488483,8.0
Torpedograss,2024,S2,EVI,2.0,12.0,7.0,0.26028535531591745,1.9481105846400846,10.0
Torpedograss,2024,S2,NDWI,1.0,10.0,1.0,-0.41116935492291845,-5.225484806252211,9.0
Torpedograss,2024,S2,MNDWI,1.0,5.0,1.0,-0.1708068529084987,-4.861465206403471,4.0
Torpedograss,2024,S2,NDRE,3.0,12.0,7.0,0.26534959058661867,2.297244537465458,9.0
Torpedograss,2025,S2,NDVI,4.0,12.0,8.0,0.55428560358843,4.8484937635639795,8.0
Torpedograss,2025,S2,EVI,3.0,12.0,7.0,0.2689174623129053,2.3076845541845303,9.0
Torpedograss,2025,S2,NDWI,1.0,9.0,4.0,-0.4173635345125891,-5.406206573196451,8.0
Torpedograss,2025,S2,MNDWI,3.0,12.0,8.0,-0.39482690151984523,-5.794688063039599,9.0
Torpedograss,2025,S2,NDRE,4.0,12.0,7.0,0.30732522988122707,2.878345234537724,8.0
Willow,2023,S2,NDVI,1.0,11.0,4.0,0.8117816221562042,7.919950527644666,10.0
Willow,2023,S2,EVI,1.0,11.0,4.0,0.5332459757880135,4.326579754836314,10.0
Willow,2023,S2,NDWI,1.0,3.0,1.0,-0.5525476520986907,-6.730397027629753,2.0
Willow,2023,S2,MNDWI,1.0,10.0,4.0,-0.4252877390272461,-5.019319595047501,9.0
Willow,2023,S2,NDRE,1.0,11.0,4.0,0.47151293551917905,4.333841711743252,10.0
Willow,2024,S2,NDVI,1.0,11.0,5.0,0.7940416021318744,7.63682895675538,10.0
Willow,2024,S2,EVI,1.0,11.0,5.0,0.5321678371902513,4.300292704919121,10.0
Willow,2024,S2,NDWI,1.0,4.0,1.0,-0.5002320782740146,-6.587295468594201,3.0
Willow,2024,S2,MNDWI,1.0,10.0,3.0,-0.3814738098707212,-4.977642715303371,9.0
Willow,2024,S2,NDRE,1.0,11.0,5.0,0.46017823042924144,4.247978885870507,10.0
Willow,2025,S2,NDVI,1.0,11.0,5.0,0.8191843304772637,7.76220682909238,10.0
Willow,2025,S2,EVI,1.0,11.0,5.0,0.6205287725599791,4.667359805765732,10.0
Willow,2025,S2,NDWI,1.0,5.0,1.0,-0.5458090895093505,-6.954504629793526,4.0
Willow,2025,S2,MNDWI,1.0,10.0,4.0,-0.43128831797440775,-5.7466211872618596,9.0
Willow,2025,S2,NDRE,1.0,11.0,5.0,0.5134702998578821,4.5339769600371005,10.0
