veg_class,year,month,CR,EVI,MNDWI,NDRE,NDVI,NDWI,RVI,VH,VV,composite_productivity,sar_productivity,composite_productivity_norm,sar_productivity_norm
Beakrush,2023,1,-10.64769717100312,-0.014764001740004987,0.1549411823597842,-0.06911984134346755,0.15026920681706804,-0.1714984410180202,0.39998316301727527,-28.833521378164026,-18.185824203034116,0.022128454577865164,-14.316764897295997,0.041532565527591464,0.16216175690107126
Beakrush,2023,2,-8.0102228911524,0.04197238950808934,-0.08648293384652367,0.032025147134006365,0.20943816034497592,-0.2618739408954289,0.6248552936891227,-22.355571414373955,-14.345348520812717,0.0944785656623572,-11.021571883162489,0.13454451201603687,0.4909892740129666
Beakrush,2023,3,-6.611906875863377,0.08193956701976833,-0.25794421760562286,0.10064996837126416,0.25251012003142737,-0.3261571191288004,0.7503179598305167,-18.120190542406238,-11.508283666380422,0.1450332184741533,-8.87251578120488,0.19953662594080193,0.7054437169272041
Beakrush,2023,4,-6.452749125136045,0.10513753079503207,-0.35944266891751325,0.136754622368306,0.27948508587642223,-0.36434797571813493,0.7763711614414572,-16.127378762260875,-9.674629639737223,0.17379241301325343,-7.869596591423171,0.23650890730188665,0.8055250856437838
Beakrush,2023,5,-7.3463118542147114,0.12481193381450394,-0.4006566800544327,0.17511949911915264,0.3262903564596915,-0.40308685301840863,0.7172419372978368,-16.156679922964024,-8.810368082522844,0.2087405964644494,-7.899029480600936,0.28143763678558975,0.8025879757906607
Beakrush,2023,6,-9.779225669229252,0.10361771701321378,-0.36015161084444125,0.09472774903511537,0.262668513993683,-0.33866347702844946,0.5321033326421557,-19.07371218198705,-9.294486518285453,0.1536713266806707,-9.4038302592149,0.21064161591556113,0.6524238119139681
Beakrush,2023,7,-12.442844493273947,0.06631627524070877,-0.2740450447087075,0.006097106029684191,0.21414239635769772,-0.28377389741585346,0.33327709879613754,-22.419302858939417,-9.976458367430272,0.0955185925426969,-11.126332155211875,0.13588155107638789,0.48053523990867764
Beakrush,2023,8,-14.486461501649424,0.02464565443508379,-0.09277524285716168,-0.10219482985525094,0.1443036895112486,-0.1872265755301733,0.21011245802426712,-26.458915174259637,-11.97245367397607,0.022251504697027153,-13.176929472965215,0.04169075645400933,0.27590600523228265
Beakrush,2023,9,-15.034109449916848,0.009713337711920253,-0.039476283432462456,-0.15345182339428493,0.11320450164426908,-0.1381905569643821,0.19019203318307248,-28.97921787222958,-13.945108428268304,-0.010177994679365199,-14.442060929307916,0.0,0.14965845802487907
Beakrush,2023,10,-14.784385985856327,0.0057563519132930036,-0.025315938746653943,-0.14111123225365754,0.1416209695589966,-0.16280873259240475,0.20405785176520308,-29.819854764740487,-15.035468784479182,0.0020886964062106863,-14.858912920827697,0.01576982810032523,0.1080607717022032
Beakrush,2023,11,-13.485428469460787,0.015148793698053262,-0.056310892508517674,-0.07405001094557692,0.21746223678651413,-0.24216347750371253,0.2800909549861419,-29.20265468632887,-15.717226222160487,0.05285367317966349,-14.531304605741001,0.08103233056732773,0.1407528259682557
Beakrush,2023,12,-11.13723690073023,0.03789066306620108,-0.1324611447180537,0.04773184052995713,0.34072830332682225,-0.37625479169830583,0.4182913428458889,-27.12761763699472,-15.990380741312219,0.14211693564099348,-13.45923598404782,0.1957875074010078,0.24773462082303724
Beakrush,2024,1,-13.240264575143836,0.0025644429515588344,0.23380186710597,-0.08435298642125699,0.09869500626716171,-0.07788045855996782,0.3160232448295375,-32.04159964036688,-18.801335070961287,0.005635487599154517,-15.941794010410618,0.0203295163675419,0.0
Beakrush,2024,2,-11.669273108021677,0.02961766490563991,0.010795686084681122,-0.01912238600132686,0.15127703346352403,-0.1847888887064953,0.39761405446555154,-27.46658592828864,-15.797312826638182,0.05392410412261236,-13.633889452120737,0.08240845652059496,0.23030594031325513
Beakrush,2024,3,-10.24481772667404,0.05781149544453153,-0.17693796265122003,0.04173152797861657,0.20350200163101406,-0.27534210553877214,0.48401953602126613,-23.571382429782325,-13.326564709163517,0.10101500835138738,-11.664686332399654,0.14294764020068979,0.42681284287390947
Beakrush,2024,4,-8.966898431100914,0.08714593456823373,-0.329399079101734,0.09820875551857346,0.25536991076963184,-0.34954010905679855,0.5752396894966815,-20.355989144847932,-11.389090718537284,0.14690820028547966,-10.034184651247362,0.20194706740782653,0.5895207076819637
Beakrush,2024,5,-7.096248769133094,0.13250894814641187,-0.501940915262196,0.17629858080109811,0.3317341585131809,-0.4333604789663751,0.7384200466799618,-16.304291582648553,-9.208042813190835,0.21351389582023028,-7.96754077957313,0.2875741009540378,0.7957512289784071
Beakrush,2024,6,-6.4229193803309315,0.16762494938787925,-0.5485999710264907,0.22594623493682714,0.3790161637960514,-0.46281997218463183,0.7993713581383419,-14.715407624362975,-8.292488243331741,0.2575291160402526,-7.157860972471826,0.3441592429312334,0.8765492276033133
Beakrush,2024,7,,0.17458155265786213,-0.5526118662410021,0.24480787620079034,0.4135901614465822,-0.47075663912863475,,,,0.27765986343507826,,0.37003895439806594,
Beakrush,2024,8,-8.410172602333443,0.13700516050115003,-0.48046391601707017,0.1534504039763486,0.3408527562505633,-0.41543405150726165,0.6754256346618779,-18.380094003605983,-9.96992140035239,0.210436106909354,-9.021190592907484,0.28361735322842835,0.6906074481625044
Beakrush,2024,9,-11.158656184583286,0.08534413368814292,-0.3895178073624035,0.05262713357798545,0.25840274165058286,-0.34503888224818896,0.4812960802701434,-23.34889933855826,-12.190243151749485,0.13212466963890374,-11.554125648655223,0.18294163755017498,0.437845700424269
Beakrush,2024,10,-11.90775505756655,0.058376931990534175,-0.37015188984109737,0.028937825422857555,0.2500522115558997,-0.351501958150547,0.4136924630774103,-25.221502891840405,-13.31374783217996,0.11245565632309713,-12.507328329627377,0.15765552275936492,0.34272554523333054
Beakrush,2024,11,-12.012290485048698,0.035840746060061435,-0.37417583848822544,0.030385284221018993,0.2644895257208816,-0.3857042929653555,0.3805458375469123,-26.389181008791233,-14.376890522004832,0.11023851866732066,-13.099454044574461,0.1548052121529891,0.28363728308023933
Beakrush,2024,12,-11.472262467029736,0.017735575896724698,-0.401589653303788,0.05696950997246994,0.3017146841455288,-0.4476458866926145,0.38185620367865003,-26.85193368941075,-15.379671221224097,0.1254732566715745,-13.330502793496484,0.17439070573104765,0.26058091396499444
Beakrush,2025,1,-5.889441640492937,0.09191822394647771,-0.49409958411271754,0.21025724702673082,0.3907258705149709,-0.5253408368926006,0.8814901533978767,-14.10031117735923,-8.210869541043445,0.23096711382939314,-6.8297830513744335,0.3100116308373525,0.9092881438825638
Beakrush,2025,2,-7.13140805939533,0.10984505602090493,-0.5387714162026995,0.20139643228572,0.34463624501196727,-0.45900711777880165,0.7538702965955459,-16.90772439121811,-9.776316335669325,0.21862591110619742,-8.265394622421805,0.29414601197254636,0.7660283753591871
Beakrush,2025,3,-8.011434884321458,0.1238616282227943,-0.5703782264529198,0.19649560342167272,0.31538485728367927,-0.41366863113319974,0.6635611754237121,-18.922453048283018,-10.911018165930086,0.2119140296427154,-9.295336230777712,0.2855173429883464,0.663250437801875
Beakrush,2025,4,-8.529522115271323,0.13396794055214586,-0.5889200148633782,0.19555476043458908,0.3029717073301068,-0.38932537695579483,0.6105627898823744,-20.14449714855396,-11.614975031825733,0.21083146943894726,-9.91960787644216,0.2841256238847529,0.6009543312106268
Beakrush,2025,5,-9.002744818620588,0.13845750381579885,-0.5871440775710461,0.19873193162870317,0.31020038443346276,-0.3867218577789241,0.5514156645856105,-21.33045821584325,-12.327713388830714,0.2157966066259883,-10.527375189677237,0.2905087111727534,0.5403051929854386
Beakrush,2025,6,-8.272956199792485,0.14184585284461815,-0.5817030803223403,0.20393421516157878,0.33040433058474483,-0.4052988777074229,0.6385592153546725,-20.127026143703205,-11.854069933216188,0.2253947995303139,-9.903873265339302,0.3028479680366488,0.6025244890373406
Beakrush,2025,7,-8.232779111759648,0.13873732499841887,-0.5485053888216964,0.210104147594629,0.3671664459630226,-0.4409434958844439,0.6535157624730187,-18.371551061011036,-10.13877194019116,0.23866930618535684,-9.022396587622207,0.31991342493992114,0.6904871018744443
Beakrush,2025,8,-8.616457562529924,0.13409902994258882,-0.5361602385816018,0.2238564731435857,0.4071047903868342,-0.47947115910107874,0.6171340835076684,-17.337210362429875,-8.720752792078622,0.25502009782433627,-8.514321658382688,0.3409336961485227,0.7411879308614118
Beakrush,2025,9,-9.191462479047747,0.1352541146160708,-0.5519617832993625,0.24146952513980574,0.4405838604296736,-0.5114022519170647,0.5465837615021434,-17.976616964502945,-8.785154484353331,0.27243583339518335,-8.851662541600469,0.3633230393118086,0.7075246630124401
Beakrush,2025,10,-9.311842984094543,0.1320624157648041,-0.5893363320183331,0.25263446800402234,0.44593747256354876,-0.5254687791967183,0.5266496311146577,-18.600697542740882,-9.288854558259047,0.2768781187774584,-9.168686363494952,0.3690339581213187,0.6758888359844749
Beakrush,2025,11,-9.124768879197878,0.12785810777868006,-0.652898354271453,0.2633901117949784,0.4348490588755432,-0.5299210867986015,0.5360452360998462,-19.469868279884373,-10.34509939888314,0.27536575948306724,-9.600922830466386,0.36708969736411073,0.6327559318936326
Beakrush,2025,12,-8.63024016435775,0.12264119065769868,-0.742647850058722,0.273736456512674,0.40731861936565705,-0.524759174722714,0.5747705764577093,-20.58412917593342,-11.953889006225614,0.2678987555120099,-10.14837194251477,0.35749025704018483,0.5781259507399131
Broadleaf Marsh,2023,1,-12.248722270768583,0.09369297386483036,-0.44328592089118907,0.3455671775303485,0.6434992504173375,-0.6349777094574758,0.1931183501236441,-15.221783295071981,-2.973061020987984,0.3609198006041721,-7.562612059176226,0.4770763687782495,0.8361590913295064
Broadleaf Marsh,2023,2,-9.231260308515415,0.15736983850445124,-0.4215715014414967,0.3165602204990967,0.572897939563916,-0.5969943182199644,0.5237810873008327,-14.317813914264255,-5.086553603963052,0.34894266618915465,-7.027961684860472,0.4616787893053783,0.8895118856438706
Broadleaf Marsh,2023,3,-7.156226237461061,0.2038443042115048,-0.3973347026671657,0.2942322513052924,0.5228270754171727,-0.565977428288284,0.7485487150796217,-13.630854121917254,-6.474627884330197,0.34030121031132327,-6.6282898821572225,0.4505694956271355,0.929395159849313
Broadleaf Marsh,2023,4,-6.023620057605514,0.23311637098599108,-0.3705755245681961,0.2785832699489355,0.49328665797710736,-0.5419270396624345,0.8674212334600117,-13.160903918030979,-7.137283862089419,0.33499543297067796,-6.363596651066475,0.443748487743521,0.9558089139458338
Broadleaf Marsh,2023,5,-5.6718326443301414,0.2555846403648563,-0.33624531948233916,0.27635034044316475,0.49039672055497224,-0.527804116307869,0.9085271335179941,-13.022353445744656,-7.350520804392743,0.34077723378766445,-6.284044940237386,0.45118146248447705,0.9637473841482572
Broadleaf Marsh,2023,6,-6.516480194597103,0.24423594593311648,-0.30133142749878283,0.27000136477376535,0.4978422585480009,-0.5103896019281202,0.8081974030721537,-13.031306214963681,-6.51482602302297,0.33735985641829425,-6.3136037573779005,0.44678814620277174,0.96079770793585
Broadleaf Marsh,2023,7,-7.463514959696862,0.21822058829057822,-0.27774700245712114,0.2768623586961263,0.5367842191100675,-0.5108035151337997,0.6782504407123446,-12.880572014475394,-5.417057055741262,0.3439557220322573,-6.270723397300293,0.455267667385738,0.9650767417516859
Broadleaf Marsh,2023,8,-8.716688317362227,0.19059089449798133,-0.25255433811830547,0.29332441397011233,0.599368434124349,-0.5291603014011821,0.5202291682669764,-12.956060139533825,-4.239371829215721,0.36109458086414753,-6.347972779461199,0.47730106300393055,0.9573680210711532
Broadleaf Marsh,2023,9,-9.392439897325556,0.18056644308747632,-0.275087264803045,0.3212887853452533,0.6601354001467254,-0.5604486421508801,0.4667166762062488,-13.25789305096222,-3.8654531562757395,0.387330209526485,-6.512267357089317,0.5110290953822404,0.9409730548871743
Broadleaf Marsh,2023,10,-9.989646851848835,0.1726133763665582,-0.31554115483861966,0.33261291829722717,0.6726042389625171,-0.5857514467562449,0.4150192465464726,-13.668197283265812,-3.678550433365194,0.3926101778754341,-6.730343830483342,0.5178169237099622,0.9192111899587456
Broadleaf Marsh,2023,11,-10.462750483991377,0.1687941898726427,-0.37891552555587293,0.3367723812657285,0.6559815894533767,-0.611353560487403,0.38327218966462406,-14.243020843863889,-3.7802703612690864,0.3871827201972493,-7.025692374864931,0.5108394858655049,0.8897383402303517
