veg_class,year,composite_productivity,sar_productivity,AUC_norm_NDVI,AUC_norm_EVI,AUC_norm_NDRE,AUC_norm_RVI,AUC_norm_VV,AUC_norm_VH,AUC_norm_CR
Maidencane Egyptian Paspalidium,2024,0.057805535266386356,0.36957162763395746,0.0733470322372526,0.015000714786134744,0.08506885877577175,0.4404327403565381,0.14942771918614273,0.38150730988353027,0.5069187411096187
Maidencane Egyptian Paspalidium,2025,0.058818758330912164,0.275814358790927,0.05512299470691387,0.034826497829547505,0.08650678245627512,0.2402034617374433,0.24991907656331938,0.316827231101613,0.29630766576133216
Phragmites,2023,0.5322240007196054,0.6823295597533161,0.5937658337593396,0.4012473029560421,0.6016588654434345,0.4670639437575197,0.7693574754588333,0.8924174677186714,0.6004793520782401
Phragmites,2024,0.5645522213216688,0.7382594847502578,0.6067130868497148,0.43388362984017775,0.6530599472751137,0.6415550398060812,0.660384996812126,0.9071077969429203,0.7439901054399038
Phragmites,2025,0.6596647777480404,0.847746409650753,0.7016935440287067,0.552017749159676,0.7252830400557385,0.96010490790518,0.4999840747937982,0.9472778255992871,0.9836188303047464
Sawgrass,2023,0.4370316850826126,0.6181027322963825,0.5314258657560964,0.26135438693656043,0.5183148025551808,0.5183578157574474,0.6248177240908943,0.7643160611676256,0.5649193281695625
Sawgrass,2024,0.4431112144920686,0.6527158917614118,0.5036713889721298,0.2880694039888092,0.5375928505152667,0.6863746725688541,0.46003209274117607,0.7454325239326697,0.7190242778029473
Sawgrass,2025,0.49510804743721887,0.7182479605705556,0.5453238104063169,0.34977095883128023,0.5902293730740594,0.948107972123051,0.22762857394287836,0.7354323032372146,0.9618229929790784
Shrub Swamp,2023,0.7003175571949681,0.8098285081520864,0.7951255912373297,0.4804513966318082,0.8253756837157668,0.9325134608603372,0.44726316249419823,0.8959439252927298,0.9635934839610801
Shrub Swamp,2024,0.662217208589951,0.8167666884609138,0.7425966742154042,0.4682301976001675,0.7758247539542814,0.9378244291328705,0.4569754646406471,0.9052361619690024,0.9670306981011354
Shrub Swamp,2025,0.761913577451939,0.7893384777344867,0.8623838897006014,0.5592541968141781,0.8641026458410375,0.9411207264488373,0.3909469588720766,0.8576953879833511,0.9675908376336817
Spikerush,2023,0.10146583259761606,0.1778107574142163,0.15911987005099748,0.029565388080989703,0.115712239660861,0.1780565657522116,0.21507616670976773,0.1849583087300271,0.13315198846485882
Spikerush,2024,0.13522619977204509,0.241925285824741,0.16027817748741938,0.0689706184561174,0.1764298033725985,0.31726965440956734,0.1437711016659492,0.2281712501712977,0.27848913705214967
Spikerush,2025,0.2695942483796791,0.46311847783322124,0.2845431784458282,0.1418534952668647,0.3823860714263443,0.476296925076685,0.32365477444266055,0.5228087252107516,0.5297134866027878
Torpedograss,2023,0.27565740395883737,0.540114019864069,0.3292118122321364,0.1371879324043686,0.36057246724000713,0.41507645678848987,0.639281689761543,0.6824913913052232,0.4236065416010203
Torpedograss,2024,0.26861477438320636,0.5835173075620759,0.2753379565757722,0.17023487296302584,0.36027149361082106,0.6633633052964725,0.37639856219873474,0.6414959956689134,0.6528113670841832
Torpedograss,2025,0.3373265017086438,0.6608557119999489,0.34264202908446706,0.215327015528089,0.4540104605133755,0.8220614790138221,0.30428102372352916,0.697875466891224,0.8192048783712201
Willow,2023,0.643644487007825,0.8193582404266789,0.773627551814357,0.4685052706922448,0.6888006385168729,0.7367937926975475,0.7139700454758922,1.0,0.8266691235332759
Willow,2024,0.6246862265660736,0.8179174581046094,0.733900051934557,0.46520876009115,0.6749498676725142,0.7629098994476232,0.6784997649004241,0.9858529157427401,0.84440725232765
Willow,2025,0.6612728691277606,0.8485698316323997,0.7514930223060923,0.5112405739715868,0.7210850111056025,0.8919328236223554,0.5854841758022639,0.9792537807881964,0.9376085463167831
