veg_class,year,month,CR,EVI,MNDWI,NDRE,NDVI,NDWI,RVI,VH,VV,composite_productivity,sar_productivity,composite_productivity_norm,sar_productivity_norm,stage_ft,stage_count,precip_mm,tmax_c,soil_moisture_mm,pet_mm,pdsi,stage_missing,climate_missing
Beakrush,2023,1,-10.64769717100312,-0.0147640017400049,0.1549411823597842,-0.0691198413434675,0.150269206817068,-0.1714984410180202,0.3999831630172752,-28.833521378164026,-18.18582420303412,0.0221284545778651,-14.316764897295997,0.0415325655275914,0.1621617569010712,16.19483870967742,31,10.848722986247544,25.67826187449439,53.12470819369005,84.91179937593895,4.683874956662428,False,False
Beakrush,2023,2,-8.0102228911524,0.0419723895080893,-0.0864829338465236,0.0320251471340063,0.2094381603449759,-0.2618739408954289,0.6248552936891227,-22.355571414373955,-14.345348520812715,0.0944785656623572,-11.021571883162489,0.1345445120160368,0.4909892740129666,15.809642857142858,28,10.866173581416843,28.433294811048174,34.717912862591014,97.00948803883044,3.2948965676643933,False,False
Beakrush,2023,3,-6.611906875863377,0.0819395670197683,-0.2579442176056228,0.1006499683712641,0.2525101200314273,-0.3261571191288004,0.7503179598305167,-18.12019054240624,-11.508283666380422,0.1450332184741533,-8.87251578120488,0.1995366259408019,0.7054437169272041,15.008387096774193,31,28.24118802727377,29.62740090142146,26.307662082514724,137.55139258060785,2.26184560268115,False,False
Beakrush,2023,4,-6.452749125136045,0.105137530795032,-0.3594426689175132,0.136754622368306,0.2794850858764222,-0.3643479757181349,0.7763711614414572,-16.127378762260875,-9.674629639737224,0.1737924130132534,-7.869596591423171,0.2365089073018866,0.8055250856437838,14.314666666666666,30,181.9708771524326,30.91073616086905,57.17603143418464,142.006390847105,4.134114180053159,False,False
Beakrush,2023,5,-7.346311854214711,0.1248119338145039,-0.4006566800544327,0.1751194991191526,0.3262903564596915,-0.4030868530184086,0.7172419372978368,-16.156679922964024,-8.810368082522844,0.2087405964644494,-7.899029480600936,0.2814376367855897,0.8025879757906607,13.953225806451613,31,110.5875418929851,31.746365422396845,39.40318964520974,168.78529989598977,3.7682341384490905,False,False
Beakrush,2023,6,-9.779225669229252,0.1036177170132137,-0.3601516108444412,0.0947277490351153,0.262668513993683,-0.3386634770284494,0.5321033326421557,-19.07371218198705,-9.294486518285453,0.1536713266806707,-9.4038302592149,0.2106416159155611,0.6524238119139681,14.194666666666667,30,202.24176586155085,32.96892407257598,78.29684502484683,153.21518548480296,3.421560152548248,False,False
Beakrush,2023,7,-12.442844493273949,0.0663162752407087,-0.2740450447087075,0.0060971060296841,0.2141423963576977,-0.2837738974158534,0.3332770987961375,-22.419302858939417,-9.976458367430272,0.0955185925426969,-11.126332155211877,0.1358815510763878,0.4805352399086776,14.896129032258063,31,189.7768404021726,34.69369004969374,96.20873685427016,162.05787588119722,3.2566450941869878,False,False
Beakrush,2023,8,-14.486461501649424,0.0246456544350837,-0.0927752428571616,-0.1021948298552509,0.1443036895112486,-0.1872265755301733,0.2101124580242671,-26.45891517425964,-11.97245367397607,0.0222515046970271,-13.176929472965217,0.0416907564540093,0.2759060052322826,15.324516129032258,31,219.71466543395357,34.81335952848722,125.39326245232866,158.19248815439727,3.4368658268808487,False,False
Beakrush,2023,9,-15.034109449916848,0.0097133377119202,-0.0394762834324624,-0.1534518233942849,0.113204501644269,-0.1381905569643821,0.1901920331830724,-28.97921787222958,-13.945108428268304,-0.0101779946793651,-14.442060929307916,0.0,0.149658458024879,15.446333333333333,30,218.83254362648785,33.258511498902095,125.41852536692473,129.9418120882931,3.997133941985437,False,False
Beakrush,2023,10,-14.784385985856328,0.005756351913293,-0.0253159387466539,-0.1411112322536575,0.1416209695589966,-0.1628087325924047,0.204057851765203,-29.819854764740487,-15.035468784479182,0.0020886964062106,-14.858912920827697,0.0157698281003252,0.1080607717022032,16.174193548387095,31,52.76655495203973,30.89432566739858,76.7766670518895,127.0104356870449,3.287496821911475,False,False
