year,month,precip_mm,tmax_c,soil_moisture_mm,pet_mm,pdsi
2016,1,128.90038137062288,22.97850456489078,99.63908471050496,76.38981856003696,4.677163989367848
2016,2,71.05674332601409,24.065191263145724,87.28806194383449,90.0151739281174,4.822732000462266
2016,3,28.302438460649483,28.364705882352936,43.36626603490117,130.37317693285559,4.147879348202934
2016,4,38.61874494395007,29.34236680919912,30.658627065757532,152.3492430370969,3.533664624985555
2016,5,159.81174159251123,31.408239916791842,28.560002311337104,164.45358835086094,3.563423090257714
2016,6,245.28660580145606,33.08980700335143,105.78431757771871,155.70125967872414,3.5856812666127356
2016,7,153.71131399514616,34.55371547440192,90.93234716283371,172.2432335606148,2.9681613313301733
2016,8,303.0300473824106,33.69233791748526,125.41852536692473,150.9710967294579,4.4229862475442046
2016,9,136.73581416849643,33.112897261065505,123.47522246619663,129.5436727146654,3.9348549635964383
2016,10,94.91552062868367,30.664671212296305,95.55917022997801,134.6738125505605,3.698786548018028
2016,11,8.855656997573094,27.727042644169643,47.01287414769444,100.18163642667281,2.93265919334335
2016,12,29.23714318733387,27.530139835895064,32.26695943603374,94.71145267537267,2.20112099849763
2017,1,41.56073038252628,25.968900959204884,24.94220501560153,99.1080896798798,1.6856812666127348
2017,2,41.072113717785726,27.34123425401595,20.444735929735344,100.37662082514734,0.9727840055472089
2017,3,64.61146423205824,27.371720790477287,17.36578065410839,139.99419854385755,0.09531954235525249
2017,4,42.583381486189744,30.128348549635962,15.120062406101923,164.83589506529518,-1.6965098809661385
2017,5,67.0836704033283,32.2122385299896,13.39974575291806,181.38661735814162,-2.3294695481335945
2017,6,97.3463538657113,31.446804576447466,12.039073153819478,134.72456951346348,-2.9629377094649247
2017,7,281.1260834392695,33.722281289726105,116.18800416040676,161.74492083670404,-1.5768866289148264
2017,8,199.70819369004965,33.778412111406446,125.4154744019415,160.7558650179129,-1.0428521899919099
2017,9,235.00947648214486,32.762914596093836,125.41852536692473,138.9366115797989,2.2945914711660693
2017,10,142.2527447128163,30.504275973650746,123.88493008205239,131.59196810354783,2.8344158095458214
2017,11,41.156246388535756,28.315901999306586,82.55817635502137,104.99666011787818,2.8246504102623367
2017,12,17.968103547902455,25.899110135213217,48.996972148387826,86.60618282676525,2.4509418698717194
2018,1,58.390153703917704,22.97140875996763,40.25531029700681,82.67090026580375,2.465734427366231
2018,2,26.52629145960937,27.876701721946134,29.127181324396158,100.83295966716747,1.4873800993874953
2018,3,30.98717207904773,26.14122269733041,23.069848607419384,134.3692361030856,0.2700219577025309
2018,4,56.97445972495088,29.675673176932847,19.193874956662427,150.78198312723907,0.23665780654108406
2018,5,338.12827920952253,30.183739743441567,125.41852536692473,140.77365075696287,2.990639084710505
2018,6,140.0945336877383,32.77469085866173,117.64104934704729,145.38636311105972,2.649670634462035
2018,7,195.28152085981733,33.62228128972611,125.41852536692473,153.14930082052462,2.9963596440540847
2018,8,237.34635386571125,33.57628568126662,125.41852536692473,156.97967179013057,3.6990176817288796
2018,9,188.5421241188027,33.41632959667167,125.41852536692473,132.75161215763316,3.8928810817057657
2018,10,48.27181324396164,31.60427597365075,71.42187680573211,131.26178204091065,3.1279787356986013
2018,11,32.854270195307976,28.074968219114744,44.35512539003812,93.50202241996993,2.5150468045764462
2018,12,38.07904772911128,26.183959320466887,31.12855656997573,94.49345891598288,2.012562117184791
2019,1,103.06032589853227,23.824708193690046,44.894499017681724,84.08332370276203,2.642597942909972
2019,2,60.492314804114166,27.84375361146423,37.5521090951115,81.96457875881197,2.570854039061596
2019,3,97.61146423205822,27.20977695596902,30.288951808621285,124.97667860857499,2.712423436958279
